"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"2055",0.938,0.009,0.028,0.015,0.337,0.156,0.069,1
"2056",0.971,0.026,0.047,0.031,0.344,0.171,0.077,1
"2057",0.955,0.008,0.023,0.014,0.269,0.136,0.059,1
"2058",0.905,0.019,0.036,0.022,0.359,0.163,0.071,1
"2059",0.984,0.016,0.029,0.02,0.271,0.129,0.059,1
"2060",0.99,0.118,0.131,0.121,0.39,0.28,0.198,1
"2061",0.976,0.008,0.015,0.009,0.126,0.058,0.023,1
"2062",0.947,0.08,0.088,0.084,0.32,0.183,0.105,1
"2063",0.981,0.014,0.031,0.019,0.274,0.13,0.057,1
"2064",0.984,0.009,0.023,0.017,0.268,0.134,0.06,1
"2065",0.974,0.542,0.521,0.521,0.555,0.517,0.499,1
"2066",0.998,0.009,0.026,0.016,0.295,0.142,0.061,1
"2067",0.956,0.013,0.034,0.02,0.349,0.163,0.074,1
"2068",0.996,0.007,0.023,0.013,0.293,0.144,0.062,1
"2069",0.932,0.011,0.013,0.01,0.066,0.036,0.02,1
"2070",0.996,0.016,0.038,0.026,0.315,0.175,0.087,1
"2071",0.974,0.036,0.055,0.042,0.335,0.176,0.088,1
"2072",0.907,0.03,0.042,0.034,0.266,0.16,0.081,1
"2073",0.96,0.072,0.095,0.086,0.351,0.213,0.12,1
"2074",0.996,0.005,0.019,0.01,0.232,0.111,0.047,1
"2075",0.96,0.2,0.196,0.187,0.406,0.287,0.23,1
"2076",0.989,0.022,0.041,0.025,0.342,0.149,0.064,1
"2077",0.993,0.015,0.02,0.016,0.172,0.065,0.028,1
"2078",0.971,0.013,0.031,0.018,0.344,0.156,0.068,1
"2079",0.928,0.018,0.042,0.024,0.379,0.209,0.102,1
"2080",0.964,0.01,0.028,0.016,0.291,0.138,0.064,1
"2081",0.96,0.013,0.03,0.018,0.304,0.155,0.068,1
"2082",0.963,0.006,0.006,0.005,0.029,0.014,0.009,1
"2083",0.96,0.011,0.012,0.009,0.059,0.03,0.018,1
"2084",0.96,0.012,0.032,0.019,0.349,0.168,0.08,1
"2085",0.986,0.021,0.036,0.026,0.309,0.14,0.063,1
"2086",0.993,0.021,0.048,0.027,0.494,0.229,0.106,1
"2087",0.966,0.265,0.29,0.281,0.46,0.406,0.358,1
