"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"1472",0.147,0.095,0.09,0.054,0.415,0.155,0.057,1
"1473",0.167,0.096,0.092,0.055,0.386,0.154,0.058,1
"1474",0.118,0.092,0.081,0.048,0.387,0.118,0.039,1
"1475",0.105,0.107,0.088,0.083,0.174,0.194,0.113,1
"1476",0.164,0.095,0.08,0.058,0.296,0.142,0.059,1
"1477",0.167,0.094,0.077,0.049,0.326,0.113,0.037,1
"1478",0.19,0.103,0.088,0.074,0.273,0.186,0.093,1
"1479",0.122,0.098,0.091,0.058,0.381,0.151,0.058,1
"1480",0.164,0.094,0.084,0.054,0.365,0.136,0.053,1
"1481",0.152,0.09,0.077,0.046,0.352,0.099,0.032,1
"1482",0.155,0.121,0.111,0.104,0.197,0.088,0.033,1
"1483",0.113,0.093,0.081,0.053,0.388,0.147,0.055,1
"1484",0.164,0.095,0.089,0.056,0.417,0.158,0.059,1
"1485",0.16,0.092,0.083,0.048,0.403,0.117,0.038,1
"1486",0.12,0.095,0.089,0.05,0.48,0.159,0.057,1
"1487",0.181,0.094,0.088,0.053,0.416,0.147,0.055,1
"1488",0.181,0.1,0.082,0.063,0.343,0.163,0.069,1
"1489",0.143,0.094,0.086,0.052,0.415,0.151,0.055,1
"1490",0.149,0.1,0.087,0.068,0.3,0.172,0.082,1
"1491",0.167,0.096,0.089,0.056,0.422,0.162,0.064,1
"1492",0.144,0.099,0.085,0.064,0.305,0.187,0.087,1
"1493",0.126,0.101,0.091,0.065,0.376,0.168,0.073,1
"1494",0.13,0.112,0.105,0.089,0.12,0.043,0.016,1
"1495",0.175,0.092,0.079,0.047,0.365,0.109,0.035,1
"1496",0.147,0.094,0.085,0.053,0.409,0.138,0.05,1
"1497",0.197,0.094,0.085,0.055,0.352,0.138,0.056,1
"1498",0.186,0.095,0.085,0.053,0.349,0.136,0.053,1
"1499",0.117,0.095,0.089,0.054,0.41,0.155,0.056,1
"1500",0.173,0.103,0.089,0.065,0.28,0.094,0.033,1
"1501",0.149,0.095,0.087,0.05,0.432,0.142,0.049,1
"1502",0.163,0.112,0.103,0.104,0.081,0.019,0.007,1
"1503",0.108,0.098,0.076,0.056,0.249,0.097,0.038,1
"1504",0.165,0.095,0.073,0.05,0.284,0.096,0.034,1
"1505",0.137,0.096,0.085,0.055,0.344,0.15,0.059,1
"1506",0.112,0.099,0.083,0.064,0.154,0.049,0.015,1
"1507",0.126,0.095,0.09,0.051,0.427,0.149,0.053,1
"1508",0.193,0.092,0.079,0.047,0.369,0.113,0.037,1
"1509",0.178,0.095,0.088,0.05,0.436,0.147,0.052,1
"1510",0.197,0.091,0.075,0.045,0.375,0.115,0.038,1
"1511",0.158,0.109,0.088,0.075,0.254,0.16,0.082,1
"1512",0.127,0.099,0.084,0.066,0.286,0.152,0.072,1
"1513",0.191,0.097,0.084,0.061,0.309,0.139,0.059,1
"1514",0.177,0.098,0.09,0.061,0.361,0.153,0.062,1
"1515",0.18,0.101,0.089,0.076,0.3,0.176,0.082,1
"1516",0.119,0.107,0.089,0.075,0.245,0.178,0.094,1
"1517",0.179,0.112,0.106,0.093,0.154,0.038,0.013,1
"1518",0.196,0.11,0.1,0.086,0.309,0.182,0.093,1
"1519",0.171,0.099,0.084,0.067,0.283,0.181,0.086,1
"1520",0.132,0.093,0.082,0.049,0.402,0.123,0.041,1
"1521",0.157,0.096,0.093,0.053,0.461,0.156,0.056,1
"1522",0.112,0.093,0.082,0.048,0.432,0.12,0.039,1
"1523",0.141,0.094,0.082,0.051,0.378,0.132,0.047,1
"1524",0.14,0.097,0.087,0.058,0.354,0.16,0.066,1
"1525",0.146,0.094,0.084,0.052,0.386,0.132,0.048,1
"1526",0.175,0.093,0.083,0.055,0.349,0.156,0.062,1
"1527",0.17,0.106,0.095,0.086,0.279,0.201,0.106,1
"1528",0.164,0.094,0.086,0.051,0.412,0.137,0.049,1
"1529",0.104,0.103,0.085,0.069,0.206,0.127,0.068,1
"1530",0.181,0.097,0.094,0.059,0.402,0.163,0.067,1
