"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"5329",0.817,0.091,0.069,0.044,0.286,0.078,0.024,1
"5330",0.89,0.092,0.073,0.046,0.311,0.108,0.035,1
"5331",0.829,0.095,0.074,0.052,0.303,0.094,0.035,1
"5332",0.864,0.092,0.072,0.046,0.319,0.088,0.03,1
"5333",0.896,0.086,0.063,0.038,0.277,0.072,0.022,1
"5334",0.899,0.093,0.071,0.047,0.28,0.083,0.027,1
"5335",0.899,0.089,0.067,0.042,0.245,0.082,0.028,1
"5336",0.84,0.093,0.075,0.047,0.308,0.1,0.033,1
"5337",0.867,0.091,0.071,0.044,0.323,0.093,0.029,1
"5338",0.812,0.091,0.07,0.045,0.275,0.087,0.029,1
"5339",0.895,0.093,0.072,0.045,0.266,0.088,0.03,1
"5340",0.825,0.092,0.071,0.047,0.282,0.09,0.03,1
"5341",0.841,0.093,0.073,0.047,0.283,0.09,0.028,1
"5342",0.834,0.091,0.07,0.043,0.31,0.093,0.029,1
"5343",0.877,0.096,0.077,0.05,0.328,0.088,0.027,1
"5344",0.891,0.091,0.071,0.043,0.331,0.093,0.029,1
"5345",0.815,0.09,0.068,0.043,0.296,0.084,0.026,1
"5346",0.83,0.092,0.069,0.045,0.245,0.08,0.026,1
"5347",0.839,0.098,0.082,0.055,0.343,0.089,0.028,1
"5348",0.899,0.089,0.064,0.043,0.257,0.073,0.023,1
"5349",0.817,0.091,0.072,0.046,0.298,0.091,0.03,1
"5350",0.838,0.09,0.066,0.044,0.274,0.076,0.024,1
"5351",0.876,0.091,0.07,0.046,0.266,0.084,0.029,1
"5352",0.83,0.091,0.07,0.043,0.302,0.094,0.031,1
"5353",0.887,0.087,0.066,0.039,0.307,0.078,0.024,1
"5354",0.86,0.091,0.071,0.044,0.314,0.104,0.033,1
"5355",0.874,0.093,0.07,0.046,0.288,0.083,0.026,1
"5356",0.838,0.093,0.075,0.047,0.29,0.091,0.03,1
"5357",0.882,0.109,0.093,0.087,0.278,0.2,0.091,19
"5358",0.801,0.091,0.07,0.046,0.278,0.09,0.029,1
"5359",0.838,0.093,0.077,0.05,0.328,0.121,0.044,1
"5360",0.88,0.111,0.094,0.087,0.253,0.204,0.1,19
"5361",0.821,0.1,0.081,0.059,0.273,0.115,0.045,1
"5362",0.818,0.092,0.072,0.043,0.331,0.085,0.025,1
"5363",0.876,0.09,0.068,0.044,0.259,0.083,0.027,1
"5364",0.845,0.091,0.07,0.045,0.276,0.087,0.028,1
"5365",0.852,0.092,0.073,0.046,0.317,0.09,0.028,1
"5366",0.813,0.092,0.074,0.046,0.323,0.105,0.033,1
"5367",0.898,0.09,0.067,0.042,0.289,0.079,0.024,1
"5368",0.888,0.09,0.067,0.044,0.248,0.081,0.027,1
"5369",0.85,0.09,0.073,0.042,0.337,0.112,0.035,1
"5370",0.879,0.091,0.069,0.043,0.313,0.093,0.028,1
"5371",0.861,0.091,0.069,0.045,0.267,0.085,0.028,1
"5372",0.81,0.092,0.075,0.049,0.318,0.105,0.036,1
"5373",0.872,0.089,0.067,0.041,0.277,0.083,0.027,1
"5374",0.877,0.092,0.071,0.045,0.291,0.084,0.026,1
"5375",0.836,0.09,0.07,0.043,0.3,0.091,0.028,1
"5376",0.83,0.089,0.068,0.042,0.286,0.09,0.029,1
"5377",0.896,0.089,0.065,0.043,0.244,0.075,0.024,1
"5378",0.875,0.092,0.072,0.046,0.287,0.086,0.028,1
"5379",0.847,0.09,0.068,0.044,0.284,0.085,0.027,1
"5380",0.842,0.093,0.075,0.047,0.343,0.106,0.035,1
"5381",0.844,0.09,0.07,0.044,0.3,0.088,0.028,1
"5382",0.898,0.09,0.067,0.043,0.252,0.084,0.028,1
"5383",0.826,0.091,0.071,0.045,0.308,0.095,0.031,1
"5384",0.897,0.091,0.073,0.048,0.273,0.092,0.031,1
"5385",0.866,0.09,0.073,0.044,0.332,0.109,0.037,1
"5386",0.853,0.092,0.074,0.05,0.298,0.104,0.038,1
"5387",0.887,0.091,0.072,0.044,0.312,0.088,0.027,1
"5388",0.896,0.092,0.073,0.046,0.312,0.096,0.03,1
"5389",0.833,0.09,0.068,0.044,0.282,0.078,0.024,1
"5390",0.862,0.09,0.072,0.043,0.336,0.107,0.034,1
"5391",0.849,0.093,0.071,0.048,0.262,0.085,0.029,1
"5392",0.832,0.09,0.067,0.043,0.265,0.072,0.022,1
"5393",0.868,0.092,0.069,0.047,0.281,0.09,0.031,1
"5394",0.889,0.094,0.072,0.048,0.274,0.09,0.029,1
"5395",0.802,0.093,0.077,0.048,0.369,0.122,0.04,1
"5396",0.802,0.09,0.07,0.043,0.307,0.104,0.034,1
"5397",0.821,0.093,0.073,0.048,0.295,0.091,0.029,1
"5398",0.835,0.091,0.068,0.044,0.258,0.081,0.026,1
"5399",0.856,0.09,0.07,0.043,0.316,0.089,0.028,1
"5400",0.847,0.093,0.076,0.05,0.336,0.12,0.044,1
"5401",0.883,0.094,0.075,0.049,0.303,0.097,0.031,1
"5402",0.875,0.092,0.069,0.046,0.275,0.084,0.027,1
"5403",0.838,0.092,0.073,0.048,0.307,0.079,0.027,1
"5404",0.852,0.093,0.072,0.048,0.273,0.086,0.028,1
"5405",0.9,0.091,0.069,0.046,0.259,0.081,0.026,1
"5406",0.873,0.091,0.072,0.044,0.324,0.103,0.033,1
"5407",0.867,0.091,0.07,0.044,0.298,0.087,0.028,1
"5408",0.992,0.09,0.067,0.044,0.277,0.079,0.025,1
"5409",0.996,0.091,0.067,0.044,0.284,0.078,0.024,1
"5410",0.983,0.092,0.07,0.045,0.292,0.084,0.026,1
"5411",0.96,0.091,0.071,0.045,0.282,0.087,0.029,1
"5412",0.908,0.089,0.065,0.044,0.244,0.073,0.024,1
"5413",0.974,0.095,0.073,0.048,0.298,0.084,0.026,1
"5414",0.973,0.094,0.071,0.046,0.277,0.083,0.026,1
"5415",0.989,0.091,0.068,0.045,0.287,0.079,0.025,1
"5416",0.99,0.091,0.068,0.045,0.292,0.08,0.025,1
"5417",0.964,0.091,0.068,0.044,0.268,0.076,0.024,1
"5418",0.946,0.091,0.068,0.044,0.268,0.082,0.027,1
"5419",0.973,0.091,0.07,0.045,0.278,0.089,0.029,1
"5420",0.991,0.091,0.07,0.045,0.292,0.079,0.024,1
"5421",0.99,0.092,0.069,0.045,0.299,0.081,0.025,1
"5422",0.988,0.092,0.067,0.045,0.288,0.076,0.023,1
"5423",0.989,0.092,0.071,0.045,0.291,0.091,0.03,1
"5424",0.906,0.092,0.07,0.046,0.274,0.09,0.03,1
"5425",0.93,0.09,0.068,0.043,0.278,0.072,0.022,1
"5426",0.967,0.094,0.071,0.047,0.27,0.084,0.027,1
"5427",0.992,0.09,0.066,0.044,0.275,0.073,0.023,1
"5428",0.985,0.093,0.072,0.047,0.32,0.083,0.026,1
"5429",0.982,0.091,0.068,0.045,0.277,0.08,0.026,1
"5430",0.982,0.089,0.063,0.042,0.26,0.071,0.021,1
"5431",0.99,0.091,0.068,0.045,0.286,0.079,0.024,1
"5432",0.974,0.09,0.067,0.044,0.259,0.074,0.024,1
"5433",0.995,0.095,0.073,0.046,0.354,0.086,0.026,1
"5434",0.986,0.09,0.066,0.044,0.254,0.078,0.025,1
"5435",0.976,0.091,0.068,0.043,0.272,0.075,0.024,1
"5436",0.984,0.091,0.068,0.044,0.274,0.079,0.025,1
"5437",0.955,0.092,0.07,0.046,0.263,0.085,0.029,1
"5438",0.979,0.091,0.069,0.044,0.278,0.077,0.024,1
"5439",0.951,0.092,0.07,0.046,0.279,0.079,0.024,1
"5440",0.978,0.091,0.072,0.045,0.299,0.1,0.033,1
"5441",0.97,0.092,0.068,0.045,0.269,0.08,0.026,1
"5442",0.933,0.09,0.067,0.043,0.284,0.077,0.024,1
"5443",0.961,0.089,0.067,0.043,0.274,0.081,0.026,1
"5444",0.972,0.09,0.067,0.044,0.257,0.077,0.025,1
"5445",0.993,0.091,0.067,0.043,0.277,0.077,0.024,1
"5446",0.983,0.091,0.067,0.044,0.277,0.082,0.026,1
