"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"290",0.428,0.092,0.077,0.05,0.331,0.18,0.077,1
"291",0.571,0.088,0.071,0.046,0.303,0.128,0.052,1
"292",0.552,0.087,0.073,0.044,0.369,0.155,0.061,1
"293",0.561,0.091,0.073,0.047,0.318,0.165,0.072,1
"294",0.544,0.086,0.069,0.041,0.38,0.153,0.06,1
"295",0.558,0.091,0.075,0.045,0.339,0.165,0.067,1
"296",0.586,0.083,0.067,0.041,0.291,0.122,0.048,1
"297",0.581,0.083,0.065,0.04,0.275,0.114,0.045,1
"298",0.566,0.084,0.067,0.042,0.306,0.121,0.048,1
"299",0.558,0.083,0.065,0.04,0.299,0.12,0.046,1
"300",0.55,0.09,0.072,0.044,0.339,0.151,0.06,1
"301",0.532,0.089,0.076,0.045,0.367,0.153,0.059,1
"302",0.572,0.091,0.072,0.048,0.289,0.166,0.076,1
"303",0.588,0.088,0.073,0.045,0.391,0.173,0.069,1
"304",0.583,0.09,0.076,0.047,0.367,0.172,0.072,1
"305",0.576,0.083,0.068,0.04,0.326,0.137,0.055,1
"306",0.6,0.083,0.065,0.038,0.315,0.135,0.054,1
"307",0.596,0.093,0.074,0.047,0.335,0.14,0.055,1
"308",0.525,0.084,0.069,0.042,0.324,0.127,0.048,1
"309",0.536,0.086,0.07,0.047,0.262,0.117,0.052,1
"310",0.554,0.083,0.067,0.04,0.336,0.141,0.055,1
"311",0.501,0.083,0.067,0.041,0.275,0.118,0.05,1
"312",0.584,0.1,0.08,0.064,0.299,0.172,0.082,1
"313",0.507,0.091,0.075,0.045,0.343,0.182,0.075,1
"314",0.595,0.086,0.073,0.046,0.323,0.143,0.061,1
"315",0.599,0.092,0.077,0.057,0.33,0.162,0.077,1
"316",0.562,0.084,0.067,0.042,0.308,0.129,0.052,1
"317",0.579,0.083,0.068,0.041,0.287,0.12,0.049,1
"318",0.501,0.095,0.078,0.054,0.28,0.168,0.078,1
"319",0.573,0.082,0.065,0.039,0.3,0.121,0.046,1
"320",0.56,0.088,0.074,0.051,0.292,0.12,0.053,1
"321",0.571,0.085,0.068,0.04,0.326,0.136,0.054,1
"322",0.569,0.09,0.075,0.052,0.336,0.178,0.081,1
"323",0.598,0.087,0.071,0.047,0.302,0.133,0.061,1
"324",0.525,0.084,0.07,0.043,0.298,0.127,0.051,1
"325",0.597,0.086,0.071,0.043,0.341,0.154,0.062,1
"326",0.565,0.094,0.076,0.052,0.3,0.171,0.081,1
"327",0.56,0.089,0.072,0.044,0.342,0.14,0.055,1
"328",0.554,0.083,0.069,0.043,0.277,0.116,0.05,1
"329",0.508,0.085,0.071,0.044,0.312,0.15,0.063,1
"330",0.502,0.081,0.062,0.037,0.28,0.107,0.041,1
"331",0.51,0.085,0.071,0.044,0.317,0.156,0.066,1
"332",0.511,0.092,0.075,0.049,0.335,0.155,0.068,1
"333",0.555,0.084,0.069,0.045,0.265,0.115,0.049,1
"334",0.504,0.093,0.085,0.062,0.335,0.2,0.1,1
"335",0.57,0.094,0.074,0.054,0.257,0.171,0.087,1
"336",0.588,0.093,0.072,0.048,0.347,0.172,0.07,1
"337",0.515,0.095,0.081,0.056,0.35,0.188,0.091,1
"338",0.59,0.084,0.068,0.042,0.291,0.112,0.044,1
"339",0.544,0.092,0.076,0.05,0.355,0.173,0.075,1
"340",0.557,0.082,0.065,0.04,0.286,0.111,0.043,1
"341",0.566,0.088,0.071,0.044,0.329,0.133,0.054,1
"342",0.587,0.09,0.072,0.044,0.305,0.155,0.063,1
"343",0.581,0.083,0.069,0.042,0.298,0.137,0.057,1
"344",0.539,0.082,0.065,0.039,0.281,0.118,0.047,1
"345",0.577,0.085,0.069,0.049,0.266,0.127,0.057,1
"346",0.545,0.088,0.074,0.048,0.333,0.168,0.074,1
"347",0.573,0.081,0.065,0.038,0.269,0.111,0.043,1
"348",0.546,0.084,0.069,0.041,0.329,0.155,0.063,1
"349",0.667,0.082,0.064,0.038,0.253,0.105,0.041,1
"350",0.643,0.088,0.07,0.045,0.355,0.159,0.065,1
"351",0.672,0.091,0.073,0.051,0.331,0.158,0.073,1
"352",0.657,0.086,0.068,0.04,0.304,0.128,0.05,1
"353",0.601,0.09,0.072,0.043,0.323,0.16,0.066,1
"354",0.665,0.083,0.067,0.041,0.317,0.118,0.045,1
"355",0.7,0.087,0.069,0.043,0.33,0.15,0.062,1
"356",0.687,0.089,0.07,0.044,0.303,0.14,0.056,1
"357",0.606,0.093,0.076,0.049,0.373,0.171,0.071,1
"358",0.651,0.092,0.077,0.047,0.382,0.158,0.062,1
"359",0.698,0.083,0.068,0.04,0.316,0.146,0.06,1
"360",0.619,0.091,0.073,0.046,0.347,0.164,0.067,1
"361",0.649,0.085,0.066,0.042,0.283,0.12,0.048,1
"362",0.692,0.085,0.068,0.043,0.32,0.143,0.06,1
"363",0.693,0.083,0.067,0.041,0.285,0.112,0.043,1
"364",0.653,0.088,0.071,0.045,0.361,0.159,0.068,1
"365",0.679,0.082,0.064,0.039,0.272,0.109,0.042,1
"366",0.621,0.086,0.07,0.047,0.308,0.143,0.062,1
"367",0.649,0.092,0.074,0.048,0.326,0.153,0.062,1
"368",0.631,0.083,0.067,0.041,0.282,0.11,0.044,1
"369",0.609,0.085,0.069,0.04,0.303,0.125,0.049,1
"370",0.666,0.084,0.068,0.041,0.318,0.145,0.059,1
"371",0.698,0.09,0.077,0.048,0.393,0.165,0.066,1
"372",0.629,0.094,0.079,0.055,0.333,0.164,0.08,1
"373",0.688,0.089,0.072,0.043,0.386,0.186,0.074,1
"374",0.684,0.088,0.072,0.043,0.338,0.144,0.057,1
"375",0.687,0.091,0.071,0.045,0.299,0.131,0.052,1
"376",0.623,0.085,0.071,0.046,0.313,0.143,0.06,1
"377",0.675,0.088,0.071,0.042,0.344,0.145,0.057,1
"378",0.696,0.093,0.078,0.05,0.358,0.158,0.067,1
"379",0.66,0.086,0.072,0.046,0.315,0.137,0.057,1
"380",0.654,0.084,0.067,0.042,0.314,0.131,0.053,1
"381",0.682,0.088,0.072,0.043,0.339,0.14,0.055,1
"382",0.635,0.09,0.075,0.047,0.362,0.17,0.07,1
"383",0.605,0.081,0.061,0.038,0.237,0.096,0.038,1
"384",0.641,0.088,0.071,0.044,0.348,0.135,0.051,1
"385",0.643,0.084,0.067,0.043,0.297,0.11,0.042,1
"386",0.66,0.087,0.072,0.051,0.288,0.146,0.069,1
"387",0.6,0.09,0.071,0.044,0.345,0.139,0.055,1
"388",0.666,0.084,0.068,0.047,0.226,0.112,0.051,1
"389",0.662,0.087,0.069,0.042,0.33,0.14,0.057,1
"390",0.648,0.085,0.064,0.038,0.309,0.134,0.052,1
"391",0.668,0.082,0.066,0.039,0.316,0.117,0.044,1
"392",0.658,0.084,0.066,0.04,0.314,0.125,0.049,1
"393",0.605,0.085,0.071,0.046,0.319,0.164,0.074,1
"394",0.621,0.084,0.067,0.041,0.313,0.132,0.053,1
"395",0.664,0.089,0.074,0.044,0.404,0.172,0.067,1
"396",0.644,0.083,0.062,0.039,0.269,0.109,0.043,1
"397",0.684,0.086,0.064,0.039,0.256,0.094,0.036,1
"398",0.674,0.085,0.067,0.039,0.31,0.128,0.049,1
"399",0.619,0.092,0.076,0.048,0.325,0.168,0.072,1
"400",0.697,0.093,0.074,0.06,0.25,0.175,0.099,1
"401",0.62,0.082,0.062,0.038,0.243,0.106,0.044,1
"402",0.698,0.089,0.071,0.048,0.279,0.115,0.052,1
"403",0.63,0.089,0.072,0.043,0.333,0.143,0.058,1
"404",0.675,0.091,0.076,0.046,0.385,0.167,0.067,1
"405",0.664,0.086,0.068,0.04,0.326,0.139,0.055,1
"406",0.625,0.092,0.072,0.047,0.325,0.126,0.05,1
"407",0.773,0.091,0.075,0.045,0.383,0.173,0.069,1
"408",0.788,0.088,0.07,0.042,0.338,0.133,0.051,1
