"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"4199",0.914,0.091,0.069,0.044,0.296,0.085,0.026,1
"4200",0.99,0.091,0.068,0.044,0.29,0.079,0.025,1
"4201",0.988,0.091,0.071,0.045,0.306,0.098,0.032,1
"4202",0.959,0.092,0.07,0.046,0.284,0.086,0.027,1
"4203",0.991,0.092,0.069,0.044,0.288,0.076,0.023,1
"4204",0.992,0.09,0.067,0.042,0.292,0.08,0.025,1
"4205",0.942,0.097,0.08,0.049,0.346,0.086,0.026,1
"4206",0.945,0.09,0.068,0.044,0.279,0.086,0.028,1
"4207",0.923,0.09,0.067,0.043,0.271,0.077,0.025,1
"4208",0.923,0.091,0.068,0.044,0.281,0.081,0.027,1
"4209",0.982,0.09,0.066,0.043,0.283,0.074,0.022,1
"4210",0.996,0.091,0.067,0.043,0.293,0.077,0.024,1
"4211",0.997,0.089,0.065,0.042,0.271,0.071,0.021,1
"4212",0.979,0.091,0.067,0.044,0.285,0.08,0.025,1
"4213",0.988,0.094,0.071,0.047,0.274,0.086,0.027,1
"4214",0.989,0.091,0.066,0.044,0.283,0.075,0.023,1
"4215",0.952,0.091,0.068,0.045,0.257,0.086,0.03,1
"4216",0.979,0.09,0.067,0.045,0.271,0.08,0.026,1
"4217",0.971,0.094,0.071,0.046,0.28,0.085,0.026,1
"4218",0.968,0.091,0.07,0.046,0.267,0.085,0.028,1
