"","frci","Band_2","Band_3","Band_4","Band_5","Band_6","Band_7","cluster"
"5144",0.861,0.092,0.069,0.045,0.269,0.079,0.025,2
"5145",0.893,0.088,0.066,0.038,0.335,0.063,0.017,2
"5146",0.805,0.095,0.08,0.054,0.25,0.059,0.019,2
"5147",0.872,0.092,0.069,0.045,0.258,0.058,0.02,2
"5148",0.897,0.09,0.067,0.043,0.265,0.083,0.027,2
"5149",0.887,0.09,0.067,0.043,0.269,0.077,0.023,2
"5150",0.845,0.093,0.074,0.051,0.29,0.115,0.045,2
"5151",0.853,0.087,0.065,0.038,0.344,0.07,0.02,2
"5152",0.86,0.088,0.067,0.04,0.34,0.078,0.023,2
"5153",0.888,0.096,0.075,0.047,0.316,0.081,0.025,2
"5154",0.828,0.089,0.067,0.043,0.311,0.097,0.031,2
"5155",0.897,0.091,0.071,0.045,0.29,0.097,0.032,2
"5156",0.815,0.091,0.067,0.044,0.275,0.078,0.025,2
"5157",0.889,0.09,0.07,0.044,0.261,0.088,0.029,2
"5158",0.872,0.09,0.069,0.042,0.326,0.101,0.031,2
"5159",0.881,0.09,0.07,0.042,0.327,0.099,0.031,2
"5160",0.846,0.109,0.092,0.088,0.255,0.196,0.093,6
"5161",0.888,0.089,0.066,0.041,0.282,0.069,0.021,2
"5162",0.808,0.091,0.069,0.045,0.28,0.088,0.028,2
"5163",0.863,0.089,0.065,0.041,0.272,0.056,0.017,2
"5164",0.864,0.097,0.081,0.053,0.335,0.084,0.027,2
"5165",0.892,0.094,0.07,0.045,0.281,0.068,0.022,2
"5166",0.869,0.094,0.07,0.044,0.312,0.079,0.024,2
"5167",0.882,0.095,0.075,0.047,0.344,0.084,0.027,2
"5168",0.896,0.089,0.065,0.04,0.295,0.068,0.022,2
"5169",0.894,0.089,0.069,0.042,0.304,0.078,0.024,2
"5170",0.876,0.091,0.07,0.045,0.275,0.09,0.03,2
"5171",0.87,0.094,0.071,0.045,0.283,0.068,0.022,2
"5172",0.886,0.092,0.069,0.043,0.281,0.07,0.023,2
"5173",0.891,0.095,0.077,0.052,0.257,0.075,0.028,2
"5174",0.829,0.089,0.073,0.042,0.338,0.082,0.024,2
"5175",0.847,0.089,0.064,0.042,0.258,0.071,0.022,2
"5176",0.876,0.095,0.08,0.05,0.317,0.097,0.031,2
"5177",0.837,0.092,0.073,0.049,0.294,0.108,0.042,2
"5178",0.845,0.091,0.07,0.045,0.276,0.087,0.028,2
"5179",0.868,0.094,0.071,0.046,0.313,0.079,0.026,2
"5180",0.843,0.097,0.076,0.05,0.291,0.069,0.022,2
"5181",0.816,0.094,0.075,0.045,0.328,0.081,0.023,2
"5182",0.843,0.089,0.066,0.042,0.262,0.079,0.026,2
"5183",0.891,0.09,0.065,0.041,0.279,0.062,0.018,2
"5184",0.817,0.093,0.071,0.048,0.276,0.087,0.029,2
"5185",0.888,0.094,0.071,0.045,0.277,0.068,0.022,2
"5186",0.876,0.093,0.077,0.045,0.34,0.09,0.028,2
"5187",0.846,0.09,0.065,0.043,0.25,0.073,0.023,2
"5188",0.896,0.091,0.069,0.045,0.264,0.086,0.029,2
"5189",0.859,0.104,0.091,0.067,0.249,0.082,0.028,2
"5190",0.858,0.09,0.068,0.042,0.319,0.08,0.024,2
"5191",0.852,0.09,0.066,0.043,0.247,0.073,0.024,2
"5192",0.869,0.091,0.07,0.044,0.291,0.083,0.026,2
"5193",0.875,0.092,0.069,0.046,0.275,0.084,0.027,2
"5194",0.895,0.093,0.072,0.045,0.266,0.088,0.03,2
"5195",0.853,0.091,0.069,0.044,0.278,0.078,0.025,2
"5196",0.89,0.091,0.067,0.045,0.259,0.086,0.029,2
"5197",0.842,0.09,0.067,0.044,0.287,0.085,0.027,2
"5198",0.899,0.09,0.067,0.044,0.245,0.077,0.025,2
"5199",0.884,0.09,0.069,0.041,0.325,0.08,0.023,2
"5200",0.832,0.094,0.071,0.045,0.288,0.078,0.024,2
"5201",0.815,0.094,0.079,0.056,0.243,0.071,0.027,2
